Molecular Weight (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Ionization Energy (eV),Electron Affinity (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ΔN_Fe ,IE (%)
240.34,9.3,2.98,-2.8,16.13,28.41,-5.183,-1.723,5.183,1.723,3.453,1.73,0.8632499999999999,1.0251445086705202,98.0
252.27,8.3,2.47,-3.6,58.2,58.2,-6.445,-2.016,6.445,2.016,4.2305,2.2145,1.057625,0.625310453827049,89.4
232.23,7.5,1.47,-2.9,75.27,22.62,-6.72,-2.502,6.72,2.502,4.611,2.109,1.15275,0.5663821716453296,95.0
232.23,7.5,1.47,-2.9,75.27,22.62,-6.72,-2.502,6.72,2.502,4.611,2.109,1.15275,0.5663821716453296,95.0
318.3,9.7,2.41,-4.5,66.76,32.65,-6.067,-2.601,6.067,2.601,4.334,1.733,1.0835,0.7691863819965379,84.67
477.6,8.2,-3.1,-1.6,199.73,51.92,-5.503,4.859,5.503,-4.859,0.32200000000000006,5.181,0.08050000000000002,0.6444701795020267,84.65
111.1451,14.46,-0.7,0.18,54.7,12.08,-5.549,-0.315,5.549,0.315,2.9320000000000004,2.617,0.7330000000000001,0.7772258311043179,95.6
68.08,7.0,-0.08,0.9,28.68,6.56,-5.805,-0.375,5.805,0.375,3.09,2.715,0.7725000000000001,0.7200736648250461,89.0
68.08,7.0,-0.08,0.9,28.68,6.56,-5.805,-0.375,5.805,0.375,3.09,2.715,0.7725000000000001,0.7200736648250461,89.0
137.14,1.82,-0.7,0.01,68.01,13.21,-6.088,-2.67,6.088,2.67,4.379,1.709,1.09475,0.7668227033352839,75.4
484.5,7.2,-7.1,-0.72,282.61,47.57,-5.852,4.514,5.852,-4.514,0.669,5.183,0.16725,0.6107466718116921,90.96
241.28,4.3,5.12,-3.78,49.33,49.33,-5.44,-2.483,5.44,2.483,3.9615,1.4785000000000001,0.990375,1.027561717957389,95.0
267.36,9.7,2.15,-2.8,50.72,31.9,-5.584,-1.571,5.584,1.571,3.5774999999999997,2.0065,0.8943749999999999,0.8528532270122104,94.0
171.15,2.6,-0.02,-1.5,83.87,15.82,-6.69,-3.179,6.69,3.179,4.9345,1.7555000000000003,1.233625,0.5882939333523212,80.0
230.26,4.2,3.18,-4.16,46.53,24.81,-5.645,-2.515,5.645,2.515,4.08,1.5649999999999997,1.02,0.9329073482428116,93.14
122.12,3.35,-0.37,0.61,55.98,11.71,-6.091,-2.565,6.091,2.565,4.328,1.7630000000000001,1.082,0.7577992058990356,93.6
238.16,7.2,-0.47,-2.8,118.05,20.49,-6.456,-3.951,6.456,3.951,5.2035,1.2525000000000002,1.300875,0.7171656686626745,97.6
269.4,8.4,3.77,-4.0,12.47,31.83,-5.27,-1.598,5.27,1.598,3.4339999999999997,1.8359999999999999,0.8584999999999999,0.971132897603486,89.75
401.4,2.84,2.38,-3.7,112.74,39.61,-6.328,-2.347,6.328,2.347,4.3375,1.9905000000000002,1.084375,0.6688018085908062,93.1
339.4,5.9,3.08,-4.4,49.81,36.57,-5.647,-2.456,5.647,2.456,4.0515,1.5955000000000001,1.012875,0.9240050141021623,91.0
608.7,6.6,3.53,-4.7,117.78,66.06,-4.905,-2.329,4.905,2.329,3.617,1.288,0.90425,1.313276397515528,94.0
376.4,10.2,-1.46,-3.68,155.05,37.5,-6.119,-4.021,6.119,4.021,5.07,1.049,1.2675,0.9199237368922782,83.9
822.9,1.7,2.77,-4.3,220.15,86.46,-4.855,-2.808,4.855,2.808,3.8315,1.0235000000000003,0.957875,1.5478749389350264,94.7
183.19,1.6,0.45,-1.4,63.24,16.02,-7.116,-3.929,7.116,3.929,5.5225,1.5935,1.380625,0.4636021336680264,83.78
214.25,2.8,-0.52,-2.4,122.06,20.38,-5.926,-2.103,5.926,2.103,4.0145,1.9115,1.003625,0.7809312058592729,67.7
264.31,7.1,0.14,-2.9,97.97,26.51,-6.425,-2.424,6.425,2.424,4.4245,2.0004999999999997,1.106125,0.6437140714821296,84.5
253.28,5.6,0.89,2.62,98.22,24.99,-6.175,-2.495,6.175,2.495,4.335,1.8399999999999999,1.08375,0.7241847826086957,91.6
172.21,10.4,-0.62,-1.36,86.18,16.25,-6.478,-2.445,6.478,2.445,4.4615,2.0164999999999997,1.115375,0.6294321844780562,93.7
249.29,8.4,0.35,-2.7,85.08,24.97,-6.419,-2.478,6.419,2.478,4.4485,1.9704999999999997,1.112125,0.6474245115452931,76.9
180.16,9.9,-0.78,-1.4,67.23,16.85,-5.863,-2.073,5.863,2.073,3.968,1.8950000000000002,0.992,0.7999999999999999,93.0
180.16,8.81,-0.02,-0.9,69.3,16.86,-5.884,-2.084,5.884,2.084,3.984,1.9000000000000001,0.996,0.7936842105263158,90.6
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,5.374,1.307,3.3404999999999996,2.0335,0.8351249999999999,0.8998032948119007,92.0
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,5.374,1.307,3.3404999999999996,2.0335,0.8351249999999999,0.8998032948119007,92.0
60.056,0.2,-2.11,0.96,69.11,5.1,-6.05,0.332,6.05,-0.332,2.859,3.191,0.71475,0.6488561579442181,94.06
308.3,5.1,2.7,-3.89,63.6,31.93,-6.042,-2.842,6.042,2.842,4.442,1.5999999999999999,1.1105,0.7993750000000001,93.484
75.07,75.07,-3.21,0.87,63.32,6.65,-6.339,-0.773,6.339,0.773,3.556,2.7830000000000004,0.889,0.6187567373338123,80.0
250.28,6.5,-0.09,-3.51,97.97,24.39,-4.165,-2.126,4.165,2.126,3.1455,1.0195,0.7863750000000002,1.8903874448258948,94.0
